timestamp,cpu_temp_c,cpu_freq_mhz,ram_used_mb,throttled
2026-06-23 17:07:58,55.5,1800.46,478,0x0
2026-06-23 17:08:03,56.0,1800.46,665,0x0
2026-06-23 17:08:08,58.9,1800.4,728,0x0
2026-06-23 17:08:13,59.9,1800.46,720,0x0
2026-06-23 17:08:18,61.3,1800.46,713,0x0
2026-06-23 17:08:23,60.8,1800.46,709,0x0
2026-06-23 17:08:28,60.8,1800.4,710,0x0
2026-06-23 17:08:33,61.3,1800.46,708,0x0
2026-06-23 17:08:38,60.8,1800.46,708,0x0
2026-06-23 17:08:43,61.8,1800.46,707,0x0
2026-06-23 17:08:48,60.8,1800.46,708,0x0
2026-06-23 17:08:53,61.3,1800.46,709,0x0
2026-06-23 17:08:58,59.4,1800.46,673,0x0
